 INFO  Accepting connections at http://localhost:4573
 HTTP  8/17/2026 12:55:54 PM ::1 GET /
 HTTP  8/17/2026 12:55:54 PM ::1 Returned 200 in 32 ms
 HTTP  8/17/2026 12:55:55 PM ::1 GET /_next/static/media/2b7d3311b69a4dca-s.p.1elj1f4z6aq4a.woff2
 HTTP  8/17/2026 12:55:55 PM ::1 GET /_next/static/media/387ee14c0e0fe675-s.p.3-lut242jvm36.woff2
 HTTP  8/17/2026 12:55:55 PM ::1 Returned 200 in 5 ms
 HTTP  8/17/2026 12:55:55 PM ::1 GET /_next/static/media/74f465119297d0e6-s.p.3b6-7wz_5l3s6.woff2
 HTTP  8/17/2026 12:55:55 PM ::1 Returned 200 in 15 ms
 HTTP  8/17/2026 12:55:55 PM ::1 GET /_next/static/media/d38f3bca7db33566-s.p.0op912u62qdhl.woff2
 HTTP  8/17/2026 12:55:55 PM ::1 GET /_next/static/chunks/31lbg1stgvlg0.css
 HTTP  8/17/2026 12:55:55 PM ::1 GET /art/airpump-1280.avif
 HTTP  8/17/2026 12:55:55 PM ::1 Returned 200 in 22 ms
 HTTP  8/17/2026 12:55:55 PM ::1 Returned 200 in 23 ms
 HTTP  8/17/2026 12:55:55 PM ::1 Returned 200 in 23 ms
 HTTP  8/17/2026 12:55:55 PM ::1 Returned 200 in 33 ms
 HTTP  8/17/2026 12:55:55 PM ::1 GET /_next/static/chunks/0_a3f2s3xcdlr.js
 HTTP  8/17/2026 12:55:55 PM ::1 GET /_next/static/chunks/3bvs1nl3bjmpb.js
 HTTP  8/17/2026 12:55:55 PM ::1 GET /_next/static/chunks/25o46h8mdjlrg.js
 HTTP  8/17/2026 12:55:55 PM ::1 GET /_next/static/chunks/turbopack-2y2yf5yk86k3y.js
 HTTP  8/17/2026 12:55:55 PM ::1 GET /_next/static/chunks/28k5eyl17p7q8.js
 HTTP  8/17/2026 12:55:55 PM ::1 GET /_next/static/chunks/158myu8e_yme3.js
 HTTP  8/17/2026 12:55:55 PM ::1 Returned 200 in 17 ms
 HTTP  8/17/2026 12:55:55 PM ::1 Returned 200 in 13 ms
 HTTP  8/17/2026 12:55:55 PM ::1 Returned 200 in 11 ms
 HTTP  8/17/2026 12:55:55 PM ::1 Returned 200 in 24 ms
 HTTP  8/17/2026 12:55:55 PM ::1 Returned 200 in 24 ms
 HTTP  8/17/2026 12:55:55 PM ::1 Returned 200 in 16 ms
 HTTP  8/17/2026 12:55:55 PM ::1 GET /_next/static/chunks/2pxy1yul5cfk-.js
 HTTP  8/17/2026 12:55:55 PM ::1 GET /_next/static/chunks/0jqvgi9n857nb.js
 HTTP  8/17/2026 12:55:55 PM ::1 Returned 200 in 9 ms
 HTTP  8/17/2026 12:55:55 PM ::1 Returned 200 in 7 ms
